episode,reward,avg_reward
418,-456.0,-415.33174224343674
419,-410.0,-415.31904761904764
420,-433.0,-415.36104513064134
421,-484.0,-415.52369668246445
422,-422.0,-415.5390070921986
423,-463.0,-415.6509433962264
424,-429.0,-415.6823529411765
425,-492.0,-415.86150234741785
426,-449.0,-415.9391100702576
427,-491.0,-416.1144859813084
428,-490.0,-416.2867132867133
429,-484.0,-416.4441860465116
430,-499.0,-416.63573085846866
431,-464.0,-416.7453703703704
432,-460.0,-416.8452655889146
433,-459.0,-416.94239631336404
434,-414.0,-416.93563218390807
435,-446.0,-417.0022935779817
436,-419.0,-417.00686498855833
437,-488.0,-417.1689497716895
438,-437.0,-417.2141230068337
439,-510.0,-417.425
440,-360.0,-417.29478458049886
441,-507.0,-417.4977375565611
442,-473.0,-417.62302483069976
443,-110.0,-416.9301801801802
444,80.0,-415.8134831460674
445,-482.0,-415.96188340807174
446,-503.0,-416.1565995525727
447,-452.0,-416.23660714285717
448,-438.0,-416.2850779510022
449,-526.0,-416.5288888888889
450,-503.0,-416.7206208425721
451,-462.0,-416.820796460177
452,-390.0,-416.7615894039735
453,-420.0,-416.76872246696036
454,-476.0,-416.8989010989011
455,-445.0,-416.9605263157895
456,-509.0,-417.16192560175057
457,-598.0,-417.55676855895194
458,40.0,-416.55991285403053
459,-463.0,-416.6608695652174
460,-478.0,-416.7939262472885
461,-411.0,-416.78138528138527
462,-473.0,-416.902807775378
463,-501.0,-417.0840517241379
464,-427.0,-417.10537634408604
465,-488.0,-417.2575107296137
466,-404.0,-417.2291220556745
467,-485.0,-417.37393162393164
468,-467.0,-417.47974413646057
469,-479.0,-417.61063829787236
470,-465.0,-417.71125265392783
471,-531.0,-417.9512711864407
472,-481.0,-418.0845665961945
473,-524.0,-418.30801687763716
474,-402.0,-418.2736842105263
475,-436.0,-418.3109243697479
476,-348.0,-418.1635220125786
477,-455.0,-418.24058577405856
478,-470.0,-418.34864300626305
479,-500.0,-418.51875
480,-422.0,-418.52598752598755
481,-386.0,-418.4585062240664
482,-386.0,-418.39130434782606
483,-468.0,-418.49380165289256
484,-519.0,-418.70103092783506
485,-478.0,-418.8230452674897
486,-471.0,-418.9301848049281
487,-465.0,-419.0245901639344
488,-522.0,-419.23517382413087
489,-454.0,-419.3061224489796
490,-461.0,-419.3910386965377
491,-445.0,-419.4430894308943
492,-551.0,-419.70993914807303
493,-507.0,-419.88663967611336
494,-556.0,-420.16161616161617
495,-585.0,-420.49395161290323
496,-439.0,-420.5311871227364
497,20.0,-419.64658634538154
498,-293.0,-419.39278557114227
499,-505.0,-419.564
500,-452.0,-419.62874251497004
501,-449.0,-419.68725099601596
502,100.0,-418.6540755467197
503,-410.0,-418.63690476190476
504,-538.0,-418.8732673267327
505,-450.0,-418.9347826086956
506,-546.0,-419.1854043392505
507,-480.0,-419.3051181102362
508,-30.0,-418.5402750491159
509,-442.0,-418.5862745098039
510,-438.0,-418.6242661448141
511,-495.0,-418.7734375
512,-435.0,-418.80506822612085
513,-461.0,-418.88715953307394
514,-489.0,-419.0233009708738
515,-513.0,-419.20542635658916
516,-379.0,-419.1276595744681
517,-466.0,-419.2181467181467
518,-371.0,-419.1252408477842
519,-389.0,-419.0673076923077
520,-580.0,-419.37619961612285
521,-361.0,-419.264367816092
522,-405.0,-419.23709369024857
523,-504.0,-419.39885496183206
524,-412.0,-419.3847619047619
525,-454.0,-419.4505703422053
526,-495.0,-419.59392789373817
527,-436.0,-419.625
528,-381.0,-419.55198487712664
529,-489.0,-419.68301886792455
530,-413.0,-419.67043314500944
531,-461.0,-419.7481203007519
532,-440.0,-419.7861163227017
533,-490.0,-419.9176029962547
534,-441.0,-419.9570093457944
535,-427.0,-419.97014925373134
536,-438.0,-420.0037243947858
537,-435.0,-420.03159851301115
538,-70.0,-419.3821892393321
539,-488.0,-419.50925925925924
540,-461.0,-419.5859519408503
541,-508.0,-419.7490774907749
542,-445.0,-419.7955801104972
543,0.0,-419.02389705882354
544,-467.0,-419.1119266055046
545,-424.0,-419.1208791208791
546,-488.0,-419.24680073126143
547,-434.0,-419.27372262773724
548,-437.0,-419.30601092896177
549,-381.0,-419.23636363636365
550,-457.0,-419.3049001814882
551,-460.0,-419.3786231884058
552,-409.0,-419.3598553345389
553,-168.0,-418.90613718411555
554,-385.0,-418.845045045045
555,-403.0,-418.81654676258995
556,-418.0,-418.81508078994614
557,-437.0,-418.84767025089604
558,-539.0,-419.06261180679786
559,-452.0,-419.12142857142857
560,-500.0,-419.2655971479501
561,-422.0,-419.270462633452
562,-349.0,-419.145648312611
563,-439.0,-419.1808510638298
564,-432.0,-419.20353982300884
565,-385.0,-419.14310954063603
566,-469.0,-419.23104056437387
567,-516.0,-419.40140845070425
568,-437.0,-419.4323374340949
569,-476.0,-419.5315789473684
570,100.0,-418.6217162872154
571,-396.0,-418.58216783216784
572,-546.0,-418.804537521815
573,-461.0,-418.8780487804878
574,-492.0,-419.00521739130437
575,-565.0,-419.25868055555554
576,-453.0,-419.317157712305
577,-425.0,-419.3269896193772
578,-457.0,-419.3920552677029
579,-454.0,-419.451724137931
580,-416.0,-419.4457831325301
581,-512.0,-419.6048109965636
582,-483.0,-419.71355060034307
583,-470.0,-419.7996575342466
584,-483.0,-419.9076923076923
585,-426.0,-419.91808873720134
586,-471.0,-420.00511073253836
587,-100.0,-419.4608843537415
588,-398.0,-419.4244482173175
589,-540.0,-419.62881355932205
590,-489.0,-419.74619289340103
591,-435.0,-419.7719594594595
592,-525.0,-419.94940978077574
593,180.0,-418.93939393939394
594,0.0,-418.2352941176471
595,-504.0,-418.37919463087246
596,-451.0,-418.43383584589617
597,-478.0,-418.53344481605353
598,-435.0,-418.56093489148583
599,300.0,-417.36333333333334
600,-460.0,-417.4342762063228
601,-440.0,-417.4717607973422
602,-503.0,-417.61359867330015
603,-493.0,-417.7384105960265
604,-443.0,-417.7801652892562
605,-454.0,-417.8399339933993
606,-404.0,-417.8171334431631
607,-468.0,-417.89967105263156
608,-460.0,-417.9688013136289
609,-10.0,-417.3
610,-480.0,-417.4026186579378
611,-446.0,-417.44934640522877
612,-435.0,-417.4779771615008
613,250.0,-416.39087947882734
614,-405.0,-416.37235772357724
615,-429.0,-416.39285714285717
616,-494.0,-416.51863857374394
617,-416.0,-416.5177993527508
