episode,avg_reward,static_rewards
827,-453.1485507246377,-390.0
828,-452.77683956574185,-145.0
829,-452.766265060241,-444.0
830,-452.8038507821901,-484.0
831,-452.81009615384613,-458.0
832,-452.71788715486196,-376.0
833,-452.68465227817745,-425.0
834,-452.7077844311377,-472.0
835,-452.70095693779905,-447.0
836,-452.6726403823178,-429.0
837,-452.7673031026253,-532.0
838,-452.7973778307509,-478.0
839,-452.76428571428573,-425.0
840,-452.81450653983353,-495.0
841,-452.8171021377672,-455.0
842,-452.72123368920523,-372.0
843,-452.6919431279621,-428.0
844,-452.72189349112426,-478.0
845,-452.77186761229314,-495.0
846,-452.4521841794569,-182.0
847,-452.4752358490566,-472.0
848,-452.4982332155477,-472.0
849,-452.5,-454.0
850,-452.454759106933,-414.0
851,-452.47535211267603,-470.0
852,-452.50644783118406,-479.0
853,-452.6135831381733,-544.0
854,-452.60584795321637,-446.0
855,-452.553738317757,-408.0
856,-452.60326721120185,-495.0
857,-452.67832167832165,-517.0
858,-452.56344586728756,-354.0
859,-452.53837209302327,-431.0
860,-452.44831591173056,-375.0
861,-452.4524361948956,-456.0
862,-452.39513325608345,-403.0
863,-452.34722222222223,-411.0
864,-452.2450867052023,-364.0
865,-452.2286374133949,-438.0
866,-452.2099192618224,-436.0
867,-452.25921658986175,-495.0
868,-452.22669735327963,-424.0
869,-452.2528735632184,-475.0
870,-452.247990815155,-448.0
871,-452.23279816513764,-439.0
872,-452.2726231386025,-487.0
873,-452.35011441647595,-520.0
874,-452.3828571428571,-481.0
875,-452.4406392694064,-503.0
876,-452.4355758266819,-448.0
877,-452.37813211845105,-402.0
878,-452.39590443686006,-468.0
879,-452.3840909090909,-442.0
880,-452.27582292849036,-357.0
881,-452.265306122449,-443.0
882,-452.1687429218573,-367.0
883,-452.1289592760181,-417.0
