episode,avg_reward,static_rewards
531,-463.42105263157896,-520.0
532,-463.39962476547845,-452.0
533,-463.45880149812734,-495.0
534,-463.3570093457944,-409.0
535,-463.37126865671644,-471.0
536,-463.2216014897579,-383.0
537,-463.1542750929368,-427.0
538,-463.1020408163265,-435.0
539,-463.01666666666665,-417.0
540,-462.99445471349355,-451.0
541,-462.99261992619927,-462.0
542,-462.9337016574586,-431.0
543,-463.1875,-601.0
544,-463.2550458715596,-500.0
545,-463.1300366300366,-395.0
546,-463.091407678245,-442.0
547,-463.2244525547445,-536.0
548,-463.12932604735886,-411.0
549,-463.1454545454545,-472.0
550,-463.2177858439201,-503.0
551,-463.161231884058,-432.0
552,-463.22061482820976,-496.0
553,-463.3447653429603,-532.0
554,-463.2954954954955,-436.0
555,-463.3507194244604,-494.0
556,-463.2692998204668,-418.0
557,-463.30645161290323,-484.0
558,-463.31663685152057,-469.0
559,-463.3857142857143,-502.0
560,-463.2192513368984,-370.0
561,-463.29715302491104,-507.0
562,-463.14209591474247,-376.0
563,-463.072695035461,-424.0
564,-463.1522123893805,-508.0
565,-463.1660777385159,-471.0
566,-463.15343915343914,-456.0
567,-463.1285211267606,-449.0
568,-463.0738137082601,-432.0
569,-463.0017543859649,-422.0
570,-462.9964973730298,-460.0
571,-462.9562937062937,-440.0
572,-462.72076788830714,-328.0
573,-462.7177700348432,-461.0
574,-462.5652173913044,-375.0
575,-462.484375,-416.0
576,-462.5996533795494,-529.0
577,-462.6868512110727,-513.0
578,-462.72020725388603,-482.0
579,-462.5206896551724,-347.0
580,-462.54388984509467,-476.0
581,-462.63745704467357,-517.0
582,-462.65866209262435,-475.0
583,-462.527397260274,-386.0
584,-462.46666666666664,-427.0
585,-462.11092150170646,-254.0
586,-462.0204429301533,-409.0
587,-461.9183673469388,-402.0
588,-461.893039049236,-447.0
589,-461.91186440677967,-473.0
590,-461.8730964467005,-439.0
591,-462.0135135135135,-545.0
592,-462.1551433389545,-546.0
593,-462.14309764309763,-455.0
594,-462.25378151260503,-528.0
595,-462.26174496644296,-467.0
596,-462.29815745393637,-484.0
597,-462.3695652173913,-505.0
598,-462.5141903171953,-549.0
599,-462.5316666666667,-473.0
600,-462.522462562396,-457.0
601,-462.5282392026578,-466.0
602,-462.530679933665,-464.0
603,-462.5,-444.0
604,-462.3884297520661,-395.0
605,-462.2854785478548,-400.0
606,-462.334431630972,-492.0
607,-462.36348684210526,-480.0
608,-462.2775041050903,-410.0
609,-462.32131147540986,-489.0
610,-462.35515548281506,-483.0
611,-462.25,-398.0
612,-462.12398042414355,-385.0
613,-462.214983713355,-518.0
614,-462.25040650406504,-484.0
615,-462.01623376623377,-318.0
616,-462.05672609400324,-487.0
617,-462.05825242718447,-463.0
618,-461.9983844911147,-425.0
619,-461.9596774193548,-438.0
620,-461.99355877616745,-483.0
621,-461.92926045016077,-422.0
622,-461.9422150882825,-470.0
623,-461.8605769230769,-411.0
624,-461.8736,-470.0
625,-461.89456869009587,-475.0
626,-461.969696969697,-509.0
627,-462.0350318471338,-503.0
628,-462.01112877583466,-447.0
629,-461.9174603174603,-403.0
630,-461.86687797147385,-430.0
631,-461.9003164556962,-483.0
632,-461.7962085308057,-396.0
633,-461.32018927444796,-160.0
634,-461.4220472440945,-526.0
635,-461.45283018867923,-481.0
636,-461.35164835164835,-397.0
637,-461.38401253918494,-482.0
638,-461.36306729264476,-448.0
639,-461.253125,-391.0
640,-461.1872074882995,-419.0
641,-461.2538940809969,-504.0
642,-461.0606531881804,-337.0
643,-460.99378881987576,-418.0
644,-460.5674418604651,-186.0
645,-460.52941176470586,-436.0
646,-460.53786707882534,-466.0
647,-460.2638888888889,-283.0
648,-460.1864406779661,-410.0
649,-460.16153846153844,-444.0
650,-460.11981566820276,-433.0
651,-460.11042944785277,-454.0
652,-460.14548238897396,-483.0
653,-460.13149847094803,-451.0
654,-460.0916030534351,-434.0
655,-459.8292682926829,-288.0
656,-459.87214611872145,-488.0
657,-459.95896656534956,-517.0
658,-459.99848254931715,-486.0
659,-459.40909090909093,-71.0
660,-459.27382753403936,-370.0
661,-459.3368580060423,-501.0
662,-459.1628959276018,-344.0
663,-459.29969879518075,-550.0
664,-459.1954887218045,-390.0
665,-459.2102102102102,-469.0
666,-459.1259370314843,-403.0
667,-459.1167664670659,-453.0
668,-459.1659192825112,-492.0
669,-459.1865671641791,-473.0
670,-459.12518628912073,-418.0
671,-459.0357142857143,-399.0
672,-458.83506686478455,-324.0
673,-458.83976261127594,-462.0
674,-458.84592592592594,-463.0
675,-458.9008875739645,-496.0
676,-458.7695716395864,-370.0
677,-458.67699115044246,-396.0
678,-458.6921944035346,-469.0
679,-458.63382352941176,-419.0
680,-458.51982378854626,-381.0
681,-458.5659824046921,-490.0
682,-458.6456808199122,-513.0
683,-458.60233918128654,-429.0
684,-458.57372262773725,-439.0
685,-458.5131195335277,-417.0
686,-458.5633187772926,-493.0
687,-458.5087209302326,-421.0
688,-458.47460087082726,-435.0
689,-458.46521739130435,-452.0
690,-458.49204052098406,-477.0
691,-458.52601156069363,-482.0
692,-458.52092352092353,-455.0
693,-458.5878962536023,-505.0
694,-458.59856115107914,-466.0
695,-458.6034482758621,-462.0
696,-458.64849354375895,-490.0
697,-458.6948424068768,-491.0
698,-458.7496423462089,-497.0
699,-458.83142857142855,-516.0
700,-458.8159771754636,-448.0
701,-458.7122507122507,-386.0
702,-458.75817923186344,-491.0
703,-458.7869318181818,-479.0
704,-458.83404255319147,-492.0
705,-458.7946175637394,-431.0
706,-458.7906647807638,-456.0
707,-458.3771186440678,-166.0
708,-458.4033850493653,-477.0
709,-458.2267605633803,-333.0
710,-458.17018284106894,-418.0
711,-458.22331460674155,-496.0
712,-458.1570827489481,-411.0
713,-458.04761904761904,-380.0
714,-458.14965034965036,-531.0
715,-458.0712290502793,-402.0
716,-457.97629009762903,-390.0
717,-457.8649025069638,-378.0
718,-457.73574408901254,-365.0
719,-457.7527777777778,-470.0
720,-457.77669902912623,-475.0
721,-457.72160664819944,-418.0
722,-457.68741355463345,-433.0
723,-457.6878453038674,-458.0
724,-457.71724137931034,-479.0
725,-457.6763085399449,-428.0
726,-457.7524071526823,-513.0
727,-457.74175824175825,-450.0
728,-457.73936899862827,-456.0
729,-457.6465753424658,-390.0
730,-457.608755129959,-430.0
731,-457.35109289617486,-269.0
732,-457.34652114597543,-454.0
733,-457.3188010899183,-437.0
734,-457.2204081632653,-385.0
735,-456.98505434782606,-284.0
736,-456.9742198100407,-449.0
737,-456.94173441734415,-433.0
738,-456.9404600811908,-456.0
